,command,type,SequenceNumber,preamble,TimeofDay,AmbientTemperature,RelativeHumidity,BarometricPressure,WindSpeed,WindDirection,NumberofLoopsTemps,TimelineName1,Temperature1,TimelineName2,Temperature2,TimelineName3,Temperature3,TimelineName4,Temperature4,HeatIndex,DewPoint
69,$WÂ,NÂ,3BÂ,R.IÂ,1D585D32Â,4EÂ,3EÂ,B64Â,3Â,0Â,4Â,T1TÂ,F6EÂ,T2TÂ,E9CÂ,T3Â,100EÂ,T4TÂ,FDCÂ,4EÂ,40
70,$WÂ,NÂ,3CÂ,R.IÂ,1D61859CÂ,4EÂ,3EÂ,B64Â,2Â,0Â,4Â,T1TÂ,F6EÂ,T2TÂ,E9CÂ,T3Â,1018Â,T4TÂ,FDCÂ,4EÂ,40
71,$WÂ,NÂ,3DÂ,R.IÂ,1D6AAD66Â,4EÂ,3EÂ,B64Â,2Â,0Â,4Â,T1TÂ,F6EÂ,T2TÂ,EA6Â,T3Â,1022Â,T4TÂ,FDCÂ,4EÂ,41
72,$WÂ,NÂ,3EÂ,R.IÂ,1D73D56CÂ,4EÂ,3EÂ,B64Â,5Â,0Â,4Â,T1TÂ,F6EÂ,T2TÂ,EB0Â,T3Â,1018Â,T4TÂ,FDCÂ,4EÂ,41
73,$WÂ,NÂ,3FÂ,R.IÂ,1D7D0BE6Â,4FÂ,3EÂ,B64Â,5Â,0Â,4Â,T1TÂ,F78Â,T2TÂ,EB0Â,T3Â,1018Â,T4TÂ,FD2Â,4FÂ,41
74,$WÂ,NÂ,40Â,R.IÂ,1D862C80Â,4FÂ,3DÂ,B64Â,6Â,0Â,4Â,T1TÂ,F78Â,T2TÂ,EB0Â,T3Â,1022Â,T4TÂ,FF0Â,4FÂ,41
75,$WÂ,NÂ,41Â,R.IÂ,1D8F4CD4Â,4FÂ,3DÂ,B64Â,6Â,0Â,4Â,T1TÂ,F78Â,T2TÂ,EC4Â,T3Â,1022Â,T4TÂ,FFAÂ,4FÂ,41
76,$WÂ,NÂ,42Â,R.IÂ,1D9874C6Â,4FÂ,3DÂ,B64Â,5Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,ECEÂ,T3Â,102CÂ,T4TÂ,1004Â,4FÂ,40
77,$WÂ,NÂ,43Â,R.IÂ,1DA19C4AÂ,4FÂ,3DÂ,B64Â,4Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,ECEÂ,T3Â,1036Â,T4TÂ,100EÂ,4FÂ,40
78,$WÂ,NÂ,44Â,R.IÂ,1DAAC66CÂ,4EÂ,3EÂ,B64Â,3Â,F0Â,4Â,T1TÂ,F82Â,T2TÂ,ED8Â,T3Â,1036Â,T4TÂ,102CÂ,4EÂ,40
79,$WÂ,NÂ,45Â,R.IÂ,1DB3F6B0Â,4EÂ,3EÂ,B64Â,3Â,E0Â,4Â,T1TÂ,F8CÂ,T2TÂ,ED8Â,T3Â,1040Â,T4TÂ,102CÂ,4EÂ,40
80,$WÂ,NÂ,46Â,R.IÂ,1DBD3F5EÂ,4EÂ,3EÂ,B64Â,3Â,0Â,4Â,T1TÂ,F82Â,T2TÂ,EE2Â,T3Â,1036Â,T4TÂ,1036Â,4EÂ,40
